Round,Player1,Player1_Deck,Player1_Wins,Player2,Player2_Deck,Player2_Wins,Draws,IsBye,Result
1,Tristan Wylde-LaRue,Four-Color Rhythm,2,Typhoon,Mono-Green Landfall,0,0,False,Tristan Wylde-LaRue won 2-0-0
1,Zach Pettit,Simic Rhythm,2,jonathan castagna,Dimir Excruciator,0,0,False,Zach Pettit won 2-0-0
1,Andrew Ohlschwager,Izzet Spellementals,0,Justin Johnson,Azorius Control,2,0,False,Justin Johnson won 2-0-0
1,Taidhg Tajalli,Mono-Red Aggro,2,Pickle3500,Izzet Lessons,1,0,False,Taidhg Tajalli won 2-1-0
1,Sylvie Sibila,Dimir Excruciator,2,Micah Workman,Dimir Midrange,1,0,False,Sylvie Sibila won 2-1-0
1,Zaid Lorea,Azorius Aggro,0,PaulAlexanderRios,Izzet Prowess,2,0,False,PaulAlexanderRios won 2-0-0
1,Jacob Cupp,Mono-Green Landfall,2,Cristofer Smith,Dimir Elementals,1,0,False,Jacob Cupp won 2-1-0
1,Derek Blaiotta,Izzet Lessons,0,Chadi Rachid,Jeskai Control,2,0,False,Chadi Rachid won 2-0-0
1,RobertoGon,Izzet Spellementals,0,Douglas Bailey,Mono-Green Landfall,2,0,False,Douglas Bailey won 2-0-0
1,Gregory Johnson,Azorius Tempo,2,Randall Uebbing,Temur Harmonizer,1,0,False,Gregory Johnson won 2-1-0
1,JefB22,Simic Rhythm,0,TheOldWeeb,Five-Color Control,2,0,False,TheOldWeeb won 2-0-0
1,Matthew Abdy,Bant Cage,2,Timdood,Izzet Spellementals,1,0,False,Matthew Abdy won 2-1-0
1,AedanD,Izzet Lessons,1,J  P,Mono-Red Aggro,2,0,False,J  P won 2-1-0
1,Matthew Carlson,Izzet Elementals,2,Ben Fauerbach,Dimir Excruciator,1,0,False,Matthew Carlson won 2-1-0
1,Austin Clark,Izzet Prowess,2,Matthew Bonura,Bant Airbending,0,0,False,Austin Clark won 2-0-0
1,BraydenPlaysCards,Mono-Red Aggro,0,Izaak van Til,Izzet Prowess,2,0,False,Izaak van Til won 2-0-0
1,Lucas Duchow,Izzet Lessons,1,Michael Mascilak,Dimir Midrange,2,0,False,Michael Mascilak won 2-1-0
1,Adrian Marquez,Mono-White Aggro,1,Moomkes,Izzet Elementals,2,0,False,Moomkes won 2-1-0
1,A. Adams,Izzet Lessons,1,Eli Hand,Azorius Tempo,2,0,False,Eli Hand won 2-1-0
1,DanM3,Mono-Black Aggro,0,Berkley Gryder,Azorius Tempo,2,0,False,Berkley Gryder won 2-0-0
1,Jason Cornell,Izzet Prowess,2,Christopher Thomas,Izzet Elementals,0,0,False,Jason Cornell won 2-0-0
1,Kazi Baker,Bant Airbending,1,Steve Cassity,Mono-Green Landfall,2,0,False,Steve Cassity won 2-1-0
1,Robert Hayes,Simic Rhythm,2,AlekRivera,Dimir Midrange,1,0,False,Robert Hayes won 2-1-0
1,Wesley Wang,Azorius Tempo,2,Damion Mims,Mono-Green Landfall,1,0,False,Wesley Wang won 2-1-0
1,Evan Heritage,Izzet Lessons,2,Gregory Vaughan,Esper Pixie,1,0,False,Evan Heritage won 2-1-0
1,Albert Vetere,Bant Airbending,0,Will Kowalczyk,Izzet Lessons,2,0,False,Will Kowalczyk won 2-0-0
1,Jacob Norris,Izzet Elementals,1,Mitchell Anderson,Dimir Excruciator,2,0,False,Mitchell Anderson won 2-1-0
1,JuaM27,Dimir Midrange,0,James Spinelli,Izzet Spellementals,2,0,False,James Spinelli won 2-0-0
